Gene Symbol	1B	2B	3B	8B	9B	10B	11B	13B	14B	16B	17B
ACADM	11.00779604	12.7435369	11.61578414	12.17346045	12.58328635	12.45667015	12.22894724	12.34372313	11.97342526	11.66329376	12.10427789
ACADS	9.478310182	7.545750859	8.015189325	9.953477842	7.462826645	7.810100357	7.549164261	8.829061924	7.955969723	9.906174789	8.555787866
ACADSB	8.422613266	8.952604468	9.732159114	7.597907543	8.538107296	9.858753627	8.934289391	8.81545316	9.610440204	7.822138311	9.448348479
ACADVL	14.00164761	14.08670735	14.06440121	14.45284956	14.39993172	14.0140812	14.33147845	14.17568195	13.93551035	14.14723613	13.95842484
ACADVL	9.531756579	10.36469508	10.59470193	9.335551259	12.32190835	11.23124115	8.833454129	11.25332629	10.75228801	9.590559179	11.03545793
ACADVL	11.25287917	10.57163574	11.60004183	10.11483493	10.08089251	10.10841371	10.05601698	11.01061719	10.42414693	11.59264067	10.41690369
ACAN	7.122903716	7.020729506	7.087722988	8.840394384	9.433293736	6.95963174	7.195562099	9.109562545	6.978326216	6.972875823	7.067453102
ACAN	7.323246434	7.400380668	7.508325308	7.483322447	7.433723046	7.406841074	7.299067781	7.241762908	7.432692755	7.542583926	7.146642342
ACAP1	11.19515293	11.03224572	7.694239571	8.410386143	10.70063908	7.54048227	7.638172325	10.8940154	7.403163933	9.627055174	11.39111929
ACAP2	7.484604349	9.170483649	7.180732454	8.834599876	8.612661292	8.234212176	8.711898718	9.109209031	9.29401886	8.834599876	9.197012203
ACAT1	7.52515039	9.454635755	10.26292727	8.678308616	9.006237197	7.733301215	7.759697558	10.59214689	7.653645713	10.76587281	10.41229963
ACAT2	7.863317017	8.113881628	7.473902642	7.387640456	7.992063256	7.782191433	7.695521814	7.984048871	7.221903558	7.556861952	7.584225106
ACBD3	13.30104686	13.47879881	13.67148458	13.35030422	12.97163127	13.43206057	12.82303052	13.57905131	13.82420798	13.55194975	13.10414275
ACBD4	7.376829829	8.138031154	7.771482558	8.128135223	8.239119397	7.604894247	7.592399349	7.877038326	7.69036076	7.58104284	8.055888625
ACCN1	10.65317503	9.394582165	7.318937282	7.229360456	7.146642342	7.308059088	12.28612802	8.465819732	9.934474366	8.978790616	10.4517413
ACCN2	7.305509254	7.269963146	7.53307115	7.205097194	7.339128828	7.443203934	7.486940861	7.094543671	7.188171203	7.27302034	7.2667668
ACCN2	11.52031684	11.36729773	11.70460681	11.05347605	12.22929225	10.69708339	10.95537829	10.71539698	10.25652426	10.74898691	11.07795337
ACCN3	9.753374941	10.0824537	9.832386339	9.761517766	9.755956309	9.306961926	9.302617634	9.240151097	8.957009851	9.457705627	9.974075259
ACCN3	7.836326109	7.671222612	8.236538783	9.059548606	9.705857108	7.714271429	8.113650399	9.280072155	7.927966225	9.51205931	9.498774062
ACCN4	7.914500596	7.570268768	8.060152363	7.526842241	7.716601777	7.879422269	9.379407894	7.542024702	7.994786345	7.776913357	7.399764558
ACCN4	7.675489149	7.549692845	7.943419605	7.389347791	7.522670384	7.665589557	7.675984489	7.429826043	7.677433011	7.488178731	7.409637877
ACCN4	7.616429412	7.471566352	7.8155632	7.471407898	7.627371046	7.558927217	8.017139955	7.483370665	7.780685193	7.484762247	7.487211567
ACD	11.73530825	11.35986622	11.58251436	11.74920887	10.76051141	10.70139446	11.12580223	11.38343763	10.57163574	11.15697951	11.25721766
ACE	7.855815786	7.713292201	8.350936825	7.629874095	7.698133244	7.867634518	11.91970172	7.50723784	7.987775695	7.75656541	7.536612886
ACE	9.983801261	9.166434634	11.02457578	11.2834487	10.47837344	7.757856502	7.335116007	9.3508364	7.085719219	8.862947785	8.150540345
ACE	7.370195843	8.254691453	7.696565875	8.200218997	7.326898247	8.484098816	7.513685821	7.389198536	7.451127354	7.386504147	7.262312346
ACE2	7.526372777	8.266253686	7.598774211	7.710745092	7.534353749	7.677593822	9.401053409	7.376288973	7.678334028	8.489315491	7.521486375
ACHE	7.248579643	7.318247136	7.582281647	9.654984796	7.297372848	7.365458194	7.566443379	7.169868033	7.28714441	7.233759692	7.129907305
ACHE	9.61125486	7.161728897	7.164900233	10.02009756	9.195456145	9.219942891	10.74144249	9.411822841	8.613046211	7.203883267	8.403323293
ACIN1	8.810690965	9.861100037	7.868200122	10.31462207	11.43449265	7.819634679	7.866844059	10.95400476	7.701795494	10.75302502	11.70760621
ACLY	15.44486299	15.12702869	15.33071074	15.40839245	15.32654969	15.18712226	15.30066922	15.17348944	15.32244067	15.19682316	15.1101375
ACN9	7.159316696	10.04027659	9.065067619	8.32756169	10.38491084	9.77208773	8.607257713	10.85678618	7.544092543	8.943255698	9.805507496
ACO1	13.70580903	14.31080366	13.90094817	13.28853793	13.75159676	13.84030845	14.36138723	14.06367678	14.06602372	14.14976035	13.85025875
ACO2	11.71998123	11.30937573	10.75582267	9.078055228	10.84496894	11.51670404	7.780908648	10.88263775	11.65426912	10.64026321	9.751041318
ACOT11	12.07464835	12.08720407	13.21606285	13.83874041	13.0080631	12.38865004	13.3016153	11.43806586	12.10567623	12.02663382	11.55571259
ACOT11	9.596044042	10.13601745	10.96397963	10.653648	11.42234801	7.547920435	7.793469874	8.912200861	7.238478382	7.266220067	8.141912594
ACOT13	10.39566798	10.32821546	10.79850203	11.13127086	10.07845182	10.97744587	7.210239873	10.48599537	9.823983575	10.92509546	11.40090074
ACOT2	7.133541567	7.088440211	6.978803021	7.05528888	7.198930113	7.03192514	7.06317875	7.017436484	7.195938746	6.996810244	7.060557606
ACOT7	7.454486541	7.402799809	7.708103777	7.756197961	7.318486539	7.610941903	7.439972465	7.389643101	7.59108151	7.440167905	7.304631606
ACOT7	10.06901385	10.87685694	10.57182207	10.32243071	12.41054871	11.78039197	10.05319866	10.99820105	10.3265834	9.866667886	11.56278604
ACOT7	7.346032413	7.332450472	7.576189429	7.231765253	7.254854342	7.332070311	7.363600728	7.218705834	7.278893124	7.305382383	7.255361447
ACOT7	7.365458194	7.321006171	7.513797034	7.258543294	7.422705607	7.157388168	9.378735198	7.210793897	7.500603472	7.302887022	7.278416698
ACOT7	7.235381418	8.528487693	7.357722248	7.30860949	7.764902794	8.935250936	7.271651059	7.316000486	7.292359884	7.180939417	7.511512543
ACOT7	9.129754267	9.290960656	10.7178088	8.714515503	10.27306952	10.0339595	10.58617665	8.955970075	10.14221798	8.622068033	7.891081409
ACOT8	8.167630631	6.99587909	9.73132121	9.454141556	9.554402006	9.413958569	7.125329574	9.272864628	9.414892973	8.286524455	8.540363908
ACOT9	10.70012733	9.943250934	10.94924351	10.43622344	10.86944434	9.554402006	7.762780845	9.933602449	11.16125309	10.51391012	10.30093275
ACOT9	8.816532479	9.525674742	9.477126426	9.4616447	9.761696647	9.513793328	9.06911084	9.385333806	8.798923504	8.986610382	9.143353416
ACOX1	7.877195236	9.014932302	9.477492972	8.077825436	9.282543133	7.771298003	7.850053779	7.502849242	7.932156277	7.658852084	8.111710663
ACOX1	7.187617556	7.191366158	7.227627621	7.582840605	7.135172725	7.253959377	7.351152593	7.321750154	7.284867179	7.122394216	7.313930204
ACOX1	7.002790697	7.01843558	6.976593692	6.972156879	7.154494419	6.890585214	6.980900532	7.004999666	7.024507127	7.043085846	6.962553861
ACOX2	11.32577714	12.51861708	10.32947827	13.10243405	12.31906611	11.15357419	12.71830886	12.73142172	12.33237536	12.90851874	12.90533561
ACOX3	7.977267312	7.710073994	8.753280641	7.672264754	7.498545565	8.064252388	8.385540606	7.665826062	8.133446344	7.648796674	7.507983172
ACP1	9.185639732	9.959238043	10.38471671	10.4913927	10.19061337	10.39167323	9.932413422	9.853294003	11.27652534	9.718943263	10.12232215
ACP1	12.71686449	13.43477753	13.94620065	13.35881879	12.546733	13.02182429	11.72671867	12.92591022	12.93318485	12.99725416	11.86841197
ACP2	11.45546321	10.96230401	11.75321996	11.58442733	10.61788744	11.48124356	9.334784279	11.24786189	10.47515465	11.45008545	10.82792656
ACP5	7.057689978	7.189225515	7.212462723	7.786159696	8.616130765	7.066196106	7.045598223	7.107210929	7.171234916	7.132529433	8.994650966
ACP6	11.98287628	11.75321996	11.80580994	11.36462962	10.62658305	12.26530854	8.071956762	11.59751242	9.7610052	12.38962315	11.41112917
ACPP	7.121622435	7.025950411	7.180732454	8.061697134	7.184548594	7.332070311	7.080978226	7.151426433	7.211740587	7.125936218	7.579455629
ACR	11.17686408	10.65503937	10.64741092	9.181310013	9.410568889	10.99917318	12.22853537	9.217917155	8.533275925	10.55974509	8.327964404
ACRV1	8.726774509	7.728747102	8.463397546	7.811124942	7.806520063	7.817505133	11.05044605	8.664356647	10.26230204	7.739149541	7.867264548
ACRV1	8.405050469	7.229385069	7.239962402	7.284088589	7.319810889	7.306623184	10.67348607	8.497714831	10.13377365	7.289380673	7.595124958
ACSBG1	8.529091494	9.128980473	9.140253464	8.594637805	8.229956493	8.602389079	11.23274956	8.09534486	8.569313366	8.359904529	8.46223067
ACSBG2	8.036025501	8.783569849	8.669182075	7.797440057	9.078719756	8.055444751	8.35758271	8.918483747	8.186293609	9.020433253	8.179512029
ACSF2	7.289892015	9.027701824	7.412558996	7.144820108	8.768021554	7.241517034	7.346245572	7.56259551	7.379187444	7.205685529	8.544818453
ACSL1	9.347225097	10.86670959	9.420363684	11.24376321	8.106195929	10.18642179	10.42021101	10.4119062	10.69354844	10.9608549	10.1919907
ACSL3	12.69008991	12.85223422	12.82303052	13.33234329	11.8003491	12.98359035	12.76137742	12.62809991	13.60998657	12.04533413	11.81565257
ACSL3	12.7264789	12.58769757	12.81731361	12.22365971	10.96325093	12.05510656	11.99284755	11.82955986	12.85414052	11.67758069	11.08129342
ACSL3	11.65629315	10.72569157	11.0511269	10.64331972	9.918553354	11.43434322	9.483549523	11.61416567	12.20935964	11.95080075	11.1610513
